Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;adres;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
ANTWERPEN-WEST - FH10;1960359;1;0;0;1;SDU;;Y;NA;2;4;Kasteelstraat14;Beschermd Erfgoed;3 Units in CRAB, 3 bussen in GM.;;;BUILDING template;Kasteelstraat;14;;;151477;210833
ANTWERPEN-WEST - FH10;1738591;4;0;0;4;MDU;;Y;NA;4;4;Emiel Banningstraat38;Beschermd Erfgoed;1 Unit in CRAB, 3 bellen in GM.;;;BUILDING template;Emiel Banningstraat;38;;;151412,824;210632,332
ANTWERPEN-WEST - FH10;1944438;6;0;0;6;MDU;;Y;NA;4;4;Graaf van Hoornestraat36; ; ;;;BUILDING template;Graaf van Hoornestraat;36;;;151659,025;210799,136
ANTWERPEN-WEST - FH10;2048276;2;0;0;2;MDU;;Y;NA;4;4;Karel Rogierstraat9; ;4 Units in CRAB, 5 bussen in GM.;;;BUILDING template;Karel Rogierstraat;9;;;151944,894;211121,049
ANTWERPEN-WEST - FH10;2062123;4;0;0;4;MDU;;Y;NA;4;4;De Vrierestraat3; ;1 Unit in CRAB, 5 bussen in GM.;;;BUILDING template;De Vrierestraat;3;;;152023,414;211109,347
ANTWERPEN-WEST - FH10;4176588;1;0;0;1;SDU;;Y;NA;2;4;Vrijheidstraat15; ; ;;;BUILDING template;Vrijheidstraat;15;;;152198,454;211224,698
ANTWERPEN-WEST - FH10;969872;2;0;0;2;MDU;;Y;NA;4;4;Marnixplaats13; ; ;;;BUILDING template;Marnixplaats;13;;;151985,302;211120,052
ANTWERPEN-WEST - FH10;1960362;1;0;0;1;SDU;;Y;NA;2;4;Kasteelstraat18;Beschermd Erfgoed;1 Unit in CRAB, 3 bussen in GM.;;;BUILDING template;Kasteelstraat;18;;;151482;210829
ANTWERPEN-WEST - FH10;1738592;7;0;0;7;MDU;;Y;NA;4;4;Emiel Banningstraat39;Beschermd Erfgoed;1 Unit in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Emiel Banningstraat;39;;;151426,322;210590,149
ANTWERPEN-WEST - FH10;1944439;4;0;0;4;MDU;;Y;NA;4;4;Graaf van Hoornestraat37; ; ;;;BUILDING template;Graaf van Hoornestraat;37;;;151690,627;210816,059
ANTWERPEN-WEST - FH10;2048277;3;0;0;3;MDU;;Y;NA;4;4;Karel Rogierstraat10; ;2 Units in CRAB, 1 bus in GM.;;;BUILDING template;Karel Rogierstraat;10;;;151939,271;211147,657
ANTWERPEN-WEST - FH10;2062124;0;3;0;3;MDU;;Y;NA;4;4;De Vrierestraat4; ;1 Unit in CRAB, 2 bussen in GM.;;;BUILDING template;De Vrierestraat;4;;;151996,555;211106,296
ANTWERPEN-WEST - FH10;4179438;3;0;0;3;MDU;;Y;NA;4;4;Vrijheidstraat51; ;1 Unit in CRAB, 3 bussen in GM.;;;BUILDING template;Vrijheidstraat;51;;;152075,166;211174,551
ANTWERPEN-WEST - FH10;969873;0;3;0;3;MDU;;Y;NA;4;4;Marnixplaats14; ;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Marnixplaats;14;;;151969,457;211132,149
ANTWERPEN-WEST - FH10;1960369;1;0;0;1;SDU;;Y;NA;2;4;Kasteelstraat26A;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Kasteelstraat;26;A;;151499;210814
ANTWERPEN-WEST - FH10;1738593;4;0;0;4;MDU;;Y;NA;4;4;Emiel Banningstraat40;Beschermd Erfgoed;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Emiel Banningstraat;40;;;151409,095;210626,932
ANTWERPEN-WEST - FH10;1944440;4;0;0;4;MDU;;Y;NA;4;4;Graaf van Hoornestraat38;Beschermd Erfgoed;2 Units in CRAB, 3 bussen in GM.;;;BUILDING template;Graaf van Hoornestraat;38;;;151658,227;210791,799
ANTWERPEN-WEST - FH10;2048278;0;1;0;1;SDU;;N;MON;2;0;Karel Rogierstraat12;Monument; ;;;BUILDING template;Karel Rogierstraat;12;;;151907,286;211135,16
ANTWERPEN-WEST - FH10;2062125;1;0;0;1;SDU;;Y;NA;2;4;De Vrierestraat5; ; ;;;BUILDING template;De Vrierestraat;5;;;152024,912;211102,673
ANTWERPEN-WEST - FH10;4188288;3;0;0;3;MDU;;Y;NA;4;4;Kasteelstraat21;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Kasteelstraat;21;;;151502,294;210847,624
ANTWERPEN-WEST - FH10;969874;0;1;0;1;SDU;;Y;NA;2;4;Marnixplaats12; ; ;;;BUILDING template;Marnixplaats;12;;;151990,971;211121,541
ANTWERPEN-WEST - FH10;1972086;1;0;0;1;SDU;;Y;NA;2;4;Kronenburgstraat50; ;1 Unit in CRAB, 2 bussen in GM.;;;BUILDING template;Kronenburgstraat;50;;;152008;211327
ANTWERPEN-WEST - FH10;1738596;1;0;0;1;SDU;;Y;NA;2;4;Emiel Banningstraat42; ; ;;;BUILDING template;Emiel Banningstraat;42;;;151406,441;210621,447
ANTWERPEN-WEST - FH10;1944441;4;0;0;4;MDU;;Y;NA;4;4;Graaf van Hoornestraat39;Beschermd Erfgoed;3 Units in CRAB, 3 bussen in GM.;;;BUILDING template;Graaf van Hoornestraat;39;;;151690,041;210811,135
ANTWERPEN-WEST - FH10;2048279;1;0;0;1;SDU;;Y;NA;2;4;Karel Rogierstraat13;Beschermd Erfgoed; ;;;BUILDING template;Karel Rogierstraat;13;;;151934,818;211115,682
ANTWERPEN-WEST - FH10;2062126;0;2;0;2;MDU;;Y;NA;4;4;De Vrierestraat6; ;3 Units in CRAB, 6 bussen in GM.;;;BUILDING template;De Vrierestraat;6;;;151997,093;211099,31
ANTWERPEN-WEST - FH10;4203394;1;0;0;1;SDU;;Y;NA;2;4;Welvaartstraat27; ; ;;;BUILDING template;Welvaartstraat;27;;;152187,224;211155,248
ANTWERPEN-WEST - FH10;969889;4;0;0;4;MDU;;Y;NA;4;4;Zwijgerstraat4; ;1 Unit in CRAB, 4 bussen in GM.;;;BUILDING template;Zwijgerstraat;4;;;151960,679;211119,409
ANTWERPEN-WEST - FH10;1972095;1;0;0;1;SDU;;Y;NA;2;4;Kronenburgstraat54; ;18 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Kronenburgstraat;54;;;152022;211324
ANTWERPEN-WEST - FH10;1738597;4;0;0;4;MDU;;Y;NA;4;4;Emiel Banningstraat44;Beschermd Erfgoed;1 Unit in CRAB, 4 bussen in GM.;;;BUILDING template;Emiel Banningstraat;44;;;151402,003;210617,502
ANTWERPEN-WEST - FH10;1944442;4;0;0;4;MDU;;Y;NA;4;4;Graaf van Hoornestraat40;Beschermd Erfgoed;1 Units in CRAB, 4 bussen in GM.;;;BUILDING template;Graaf van Hoornestraat;40;;;151657,943;210786,247
ANTWERPEN-WEST - FH10;2048280;1;0;0;1;SDU;;Y;NA;2;4;Karel Rogierstraat14; ; ;;;BUILDING template;Karel Rogierstraat;14;;;151900,962;211130,97
ANTWERPEN-WEST - FH10;2062127;7;0;0;7;MDU;;Y;NA;4;4;De Vrierestraat7; ;1 Unit in CRAB, 8 bussen in GM.;;;BUILDING template;De Vrierestraat;7;;;152025,135;211097,336
ANTWERPEN-WEST - FH10;4204878;1;0;0;1;SDU;;Y;NA;2;4;Coquilhatstraat41; ; ;;;BUILDING template;Coquilhatstraat;41;;;152048,232;211035,482
ANTWERPEN-WEST - FH10;973047;0;3;0;3;MDU;;Y;NA;4;4;Kasteelpleinstraat54; ;1 Unit in CRAB, Onduidelijk in GM.;;;BUILDING template;Kasteelpleinstraat;54;;;152324,585;211061,536
ANTWERPEN-WEST - FH10;1972229;1;0;0;1;SDU;;Y;NA;2;4;Kronenburgstraat100; ;1 Unit in CRAB, 4 bussen in GM.;;;BUILDING template;Kronenburgstraat;100;;;152189;211292
ANTWERPEN-WEST - FH10;1738601;2;0;0;2;MDU;;Y;NA;4;4;Emiel Banningstraat46; ;1 Unit in CRAB, 2 bussen in GM.;;;BUILDING template;Emiel Banningstraat;46;;;151399,04;210612,988
ANTWERPEN-WEST - FH10;1944443;4;0;0;4;MDU;;Y;NA;4;4;Graaf van Hoornestraat41; ;1 Unit in CRAB, 4 bussen in GM.;;;BUILDING template;Graaf van Hoornestraat;41;;;151688,932;210805,505
ANTWERPEN-WEST - FH10;2048281;3;0;0;3;MDU;;Y;NA;4;4;Karel Rogierstraat15;Beschermd Erfgoed;1 Unit in CRAB, 4 bussen in GM.;;;BUILDING template;Karel Rogierstraat;15;;;151928,454;211113,291
ANTWERPEN-WEST - FH10;2062128;1;0;0;1;SDU;;Y;NA;2;4;De Vrierestraat8; ;3 Units in CRAB, 3 bussen in GM.;;;BUILDING template;De Vrierestraat;8;;;151999,681;211092,252
