Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate;TSA SIGNED;Meetstaat
ANTWERPEN-WEST - FH01;59277;BL0102;4;714093;59277;20604519;Sint-Aldegondiskaai 10_ Adriaan Brouwerstraat 9;Sint-Aldegondiskaai;10;;A;2020-02-19 22:20:13;Senel Koksal;MDU;2;10;1;13;Y;;BUILDING template;2019-10-22;Y
ANTWERPEN-WEST - FH01;59274;BL0102;4;11196640;59274;20604519;Sint-Aldegondiskaai 10_ Adriaan Brouwerstraat 9;Adriaan Brouwerstraat;9;;A;2020-02-19 22:20:13;Senel Koksal;MDU;1;5;1;7;Y;;BUILDING template;2019-10-22;Y
ANTWERPEN-WEST - FH01;1782029;BL0103;4;632757;1782029;20521214;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;21;;A;2020-02-06;olivier collignon;MDU;1;0;0;1;Y;;BUILDING template;2020-03-29;Y
ANTWERPEN-WEST - FH01;1782040;BL0103;4;632758;1782040;20521214;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;27;;A;2020-02-06;olivier collignon;MDU;0;4;1;5;N;;BUILDING template;2020-03-29;Y
ANTWERPEN-WEST - FH01;59279;BL0103;4;714095;59279;;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Sint-Aldegondiskaai;36;;A;2020-05-08 09:54:35;olivier collignon;MDU;1;0;0;1;Y;;BUILDING template;2020-03-29;Y
ANTWERPEN-WEST - FH01;3962177;BL0103;4;7093694;3962177;20521214;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Sint-Aldegondiskaai;40;;A;2020-02-06;olivier collignon;MDU;1;0;0;1;N;;BUILDING template;2020-03-29;Y
ANTWERPEN-WEST - FH01;3962176;BL0103;4;11196605;3962176;20521214;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Sint-Aldegondiskaai;38;;A;2020-02-06;olivier collignon;MDU;0;12;2;14;Y;;BUILDING template;2020-03-29;Y
ANTWERPEN-WEST - FH01;6242346;BL0103;4;11196606;6242346;20521214;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Sint-Aldegondiskaai;42;;A;2020-05-08 09:56:21;olivier collignon;MDU;1;0;0;1;Y;;BUILDING template;2020-03-29;Y
ANTWERPEN-WEST - FH01;186516;BL0104;4;641344;186516;11196800;Oudeleeuwenrui 7-11;Oudeleeuwenrui;7;;C;2020-02-05;Senel Koksal;MDU;1;0;0;1;Y;;BUILDING template;2020-03-19;Y
ANTWERPEN-WEST - FH01;6005416;BL0104;4;11196741;6005416;11196800;Oudeleeuwenrui 7-11;Oudeleeuwenrui;11;;C;2020-02-05;Senel Koksal;MDU;24;0;3;27;Y;;BUILDING template;2020-03-19;Y
ANTWERPEN-WEST - FH01;62439;BL0104;4;7093734;62439;29419795;Godefriduskaai 18-20-22;Godefriduskaai;18;;A;2019-08-27 12:50:11;olivier collignon;MDU;0;13;1;14;Y;;BUILDING template;2019-10-22;Y
