Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;BT IFH;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH01;6352556;BL0109;1;;6352556;;;Elzenstraat;29;;;;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;4903189;BL0113;1;;4903189;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;1;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406665;BL0113;1;;2406665;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;4;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406667;BL0113;1;;2406667;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;5;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406668;BL0113;1;;2406668;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;6;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;4186027;BL0113;1;;4186027;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;7;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;4903196;BL0113;1;;4903196;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;8;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406669;BL0113;1;;2406669;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;9;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406670;BL0113;1;;2406670;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;10;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406672;BL0113;1;;2406672;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;11;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406673;BL0113;1;;2406673;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;12;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406674;BL0113;1;;2406674;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;13;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406675;BL0113;1;;2406675;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;14;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
